2015-07-08 00:00:03,479 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:00:13,479 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:00:23,479 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:00:33,479 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:00:43,480 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:00:53,480 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:01:03,480 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:01:13,480 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:01:23,481 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:01:33,481 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:01:43,481 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:01:53,481 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:02:03,481 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:02:13,482 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:02:23,482 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:02:33,482 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:02:43,482 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:02:53,482 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:03:03,482 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:03:13,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:03:23,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:03:33,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:03:43,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:03:53,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:04:03,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:04:13,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:04:23,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:04:33,483 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:04:43,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:04:53,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:05:03,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:05:13,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:05:23,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:05:33,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:05:43,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:05:53,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:06:03,484 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:06:13,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:06:23,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:06:33,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:06:43,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:06:53,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:07:03,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:07:13,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:07:23,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:07:33,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:07:43,485 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:07:53,486 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:08:03,486 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:08:13,486 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:08:23,486 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:08:33,486 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:08:43,486 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:08:53,486 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:09:03,486 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:09:13,487 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:09:23,487 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:09:33,491 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:09:43,491 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:09:53,491 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:10:03,491 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:10:13,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:10:23,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:10:33,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:10:43,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:10:53,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:11:03,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:11:13,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:11:23,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:11:33,492 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:11:43,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:11:53,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:12:03,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:12:13,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:12:23,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:12:33,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:12:43,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:12:53,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:13:03,493 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:13:13,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:13:23,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:13:33,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:13:43,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:13:53,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:14:03,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:14:13,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:14:23,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:14:33,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:14:43,494 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:14:53,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:15:03,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:15:13,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:15:23,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:15:33,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:15:43,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:15:53,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:16:03,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:16:13,495 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:16:23,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:16:33,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:16:43,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:16:53,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:17:03,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:17:13,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:17:23,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:17:33,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:17:43,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:17:53,496 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:18:03,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:18:13,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:18:23,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:18:33,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:18:43,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:18:53,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:03,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:13,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:23,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:33,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:43,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:53,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:20:03,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
